Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow;Hydro_Reservoir_existing_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-1.6;91.04;1.11;;541.8091041394883
2022-01-01 01:00:00;0.0;0.0;0.0;-1.7;92.32;1.09;;541.8091041394883
2022-01-01 02:00:00;0.0;0.0;0.0;-1.8;93.6;1.07;;541.8091041394883
2022-01-01 03:00:00;0.0;0.0;0.0;-1.9;94.89;1.05;;541.8091041394883
2022-01-01 04:00:00;0.0;0.0;0.0;-2.0;96.17;1.03;;541.8091041394883
2022-01-01 05:00:00;0.0;0.0;0.0;-2.1;97.45;1.01;;541.8091041394883
2022-01-01 06:00:00;0.0;0.0;0.0;-2.2;98.74;0.99;;541.8091041394883
2022-01-01 07:00:00;0.0;0.0;0.0;-2.3;100.0;0.97;;541.8091041394883
2022-01-01 08:00:00;103.0;357.01;51.0;-2.21;91.85;1.1;;541.8091041394883
2022-01-01 09:00:00;199.0;376.76;102.0;0.49;88.5;0.76;;541.8091041394883
2022-01-01 10:00:00;169.0;57.1;150.0;1.91;85.25;0.28;;541.8091041394883
2022-01-01 11:00:00;174.0;35.48;161.0;3.2;79.1;0.14;;541.8091041394883
2022-01-01 12:00:00;124.0;2.81;123.0;3.73;79.15;0.48;;541.8091041394883
2022-01-01 13:00:00;47.0;0.0;47.0;4.17;76.25;0.62;;541.8091041394883
2022-01-01 14:00:00;79.0;14.32;76.0;4.38;79.2;0.83;;541.8091041394883
2022-01-01 15:00:00;25.0;12.03;24.0;4.01;85.45;0.9;;541.8091041394883
2022-01-01 16:00:00;0.0;0.0;0.0;3.55;85.45;0.97;;541.8091041394883
2022-01-01 17:00:00;0.0;0.0;0.0;3.23;92.15;0.9;;541.8091041394883
2022-01-01 18:00:00;0.0;0.0;0.0;2.95;92.15;0.9;;541.8091041394883
2022-01-01 19:00:00;0.0;0.0;0.0;4.35;88.8;0.07;;541.8091041394883
2022-01-01 20:00:00;0.0;0.0;0.0;4.16;88.8;0.34;;541.8091041394883
2022-01-01 21:00:00;0.0;0.0;0.0;3.43;95.7;0.83;;541.8091041394883
2022-01-01 22:00:00;0.0;0.0;0.0;3.1;95.7;1.38;;541.8091041394883
2022-01-01 23:00:00;0.0;0.0;0.0;3.21;95.7;1.52;;541.8091041394883
2022-01-02 00:00:00;0.0;0.0;0.0;3.14;95.7;1.17;;541.8091041394883
2022-01-02 01:00:00;0.0;0.0;0.0;3.58;92.15;0.76;;541.8091041394883
2022-01-02 02:00:00;0.0;0.0;0.0;3.34;95.7;0.83;;541.8091041394883
2022-01-02 03:00:00;0.0;0.0;0.0;3.18;95.7;0.97;;541.8091041394883
2022-01-02 04:00:00;0.0;0.0;0.0;3.15;95.7;0.9;;541.8091041394883
2022-01-02 05:00:00;0.0;0.0;0.0;3.61;92.15;0.55;;541.8091041394883
2022-01-02 06:00:00;0.0;0.0;0.0;4.04;88.8;0.21;;541.8091041394883
2022-01-02 07:00:00;0.0;0.0;0.0;2.21;99.4;0.55;;541.8091041394883
2022-01-02 08:00:00;64.0;47.96;57.0;2.54;99.4;0.41;;541.8091041394883
2022-01-02 09:00:00;119.0;42.62;108.0;3.53;95.7;0.28;;541.8091041394883
2022-01-02 10:00:00;63.0;0.0;63.0;4.81;95.75;0.28;;541.8091041394883
2022-01-02 11:00:00;132.0;5.44;130.0;5.8;88.9;0.69;;541.8091041394883
2022-01-02 12:00:00;173.0;41.93;158.0;6.41;82.55;1.31;;541.8091041394883
2022-01-02 13:00:00;117.0;9.85;114.0;6.86;79.55;1.72;;541.8091041394883
2022-01-02 14:00:00;91.0;33.08;84.0;6.81;79.55;1.72;;541.8091041394883
2022-01-02 15:00:00;33.0;46.84;29.0;6.39;85.7;1.38;;541.8091041394883
2022-01-02 16:00:00;0.0;0.0;0.0;5.43;88.85;1.31;;541.8091041394883
2022-01-02 17:00:00;0.0;0.0;0.0;4.41;95.75;0.83;;541.8091041394883
2022-01-02 18:00:00;0.0;0.0;0.0;4.11;95.75;0.69;;541.8091041394883
2022-01-02 19:00:00;0.0;0.0;0.0;3.24;99.4;1.31;;541.8091041394883
2022-01-02 20:00:00;0.0;0.0;0.0;3.29;99.4;1.31;;541.8091041394883
2022-01-02 21:00:00;0.0;0.0;0.0;3.04;99.4;1.38;;541.8091041394883
2022-01-02 22:00:00;0.0;0.0;0.0;2.62;99.4;1.31;;541.8091041394883
2022-01-02 23:00:00;0.0;0.0;0.0;1.97;100.0;1.31;;541.8091041394883
2022-01-03 00:00:00;0.0;0.0;0.0;1.22;99.35;1.31;;541.8091041394883
2022-01-03 01:00:00;0.0;0.0;0.0;0.8;95.65;1.17;;541.8091041394883
2022-01-03 02:00:00;0.0;0.0;0.0;0.02;95.65;1.38;;541.8091041394883
2022-01-03 03:00:00;0.0;0.0;0.0;-0.3;95.6;1.45;;541.8091041394883
2022-01-03 04:00:00;0.0;0.0;0.0;-0.75;95.6;1.52;;541.8091041394883
2022-01-03 05:00:00;0.0;0.0;0.0;-1.08;99.4;1.52;;541.8091041394883
2022-01-03 06:00:00;0.0;0.0;0.0;-1.22;95.6;1.52;;541.8091041394883
2022-01-03 07:00:00;0.0;0.0;0.0;-1.2;95.6;1.38;;541.8091041394883
2022-01-03 08:00:00;120.0;573.89;36.0;-0.81;95.6;1.24;;541.8091041394883
2022-01-03 09:00:00;220.0;537.07;81.0;1.72;95.65;1.24;;541.8091041394883
2022-01-03 10:00:00;333.0;824.4;57.0;3.4;95.7;1.38;;541.8091041394883
2022-01-03 11:00:00;315.0;482.22;137.0;5.09;85.6;1.31;;541.8091041394883
2022-01-03 12:00:00;352.0;787.25;69.0;6.59;79.55;1.24;;541.8091041394883
2022-01-03 13:00:00;286.0;701.45;71.0;7.41;76.7;1.1;;541.8091041394883
2022-01-03 14:00:00;186.0;636.04;50.0;7.8;73.95;0.97;;541.8091041394883
2022-01-03 15:00:00;53.0;296.33;27.0;7.42;79.65;1.17;;541.8091041394883
2022-01-03 16:00:00;0.0;0.0;0.0;5.86;85.65;1.59;;541.8091041394883
2022-01-03 17:00:00;0.0;0.0;0.0;3.74;92.15;1.93;;541.8091041394883
2022-01-03 18:00:00;0.0;0.0;0.0;2.35;95.65;2.07;;541.8091041394883
2022-01-03 19:00:00;0.0;0.0;0.0;1.85;92.05;1.52;;541.8091041394883
2022-01-03 20:00:00;0.0;0.0;0.0;1.29;88.55;1.45;;541.8091041394883
2022-01-03 21:00:00;0.0;0.0;0.0;0.52;85.2;1.52;;541.8091041394883
2022-01-03 22:00:00;0.0;0.0;0.0;-0.14;88.45;1.79;;541.8091041394883
2022-01-03 23:00:00;0.0;0.0;0.0;-0.35;88.45;2.0;;541.8091041394883
2022-01-04 00:00:00;0.0;0.0;0.0;-0.47;92.0;2.07;;541.8091041394883
2022-01-04 01:00:00;0.0;0.0;0.0;-0.45;92.0;2.07;;541.8091041394883
2022-01-04 02:00:00;0.0;0.0;0.0;-0.27;95.6;2.14;;541.8091041394883
2022-01-04 03:00:00;0.0;0.0;0.0;-0.1;95.6;2.34;;541.8091041394883
2022-01-04 04:00:00;0.0;0.0;0.0;0.36;95.65;2.34;;541.8091041394883
2022-01-04 05:00:00;0.0;0.0;0.0;0.48;95.65;2.41;;541.8091041394883
2022-01-04 06:00:00;0.0;0.0;0.0;0.72;95.65;2.62;;541.8091041394883
2022-01-04 07:00:00;0.0;0.0;0.0;1.39;95.65;2.62;;541.8091041394883
2022-01-04 08:00:00;119.0;564.99;36.0;1.79;92.05;2.55;;541.8091041394883
2022-01-04 09:00:00;242.0;724.0;54.0;3.42;88.7;2.41;;541.8091041394883
2022-01-04 10:00:00;255.0;321.44;147.0;6.04;79.4;2.55;;541.8091041394883
2022-01-04 11:00:00;364.0;787.77;72.0;8.7;71.4;2.62;;541.8091041394883
2022-01-04 12:00:00;349.0;752.76;77.0;10.58;69.1;2.55;;541.8091041394883
2022-01-04 13:00:00;273.0;586.46;92.0;11.7;66.75;2.14;;541.8091041394883
2022-01-04 14:00:00;184.0;592.19;56.0;12.08;69.25;2.0;;541.8091041394883
2022-01-04 15:00:00;41.0;99.79;32.0;11.11;69.25;2.34;;541.8091041394883
2022-01-04 16:00:00;0.0;0.0;0.0;8.94;79.85;2.55;;541.8091041394883
2022-01-04 17:00:00;0.0;0.0;0.0;6.97;89.0;2.34;;541.8091041394883
2022-01-04 18:00:00;0.0;0.0;0.0;5.49;92.25;2.21;;541.8091041394883
2022-01-04 19:00:00;0.0;0.0;0.0;5.26;92.25;2.21;;541.8091041394883
2022-01-04 20:00:00;0.0;0.0;0.0;4.56;92.25;2.28;;541.8091041394883
2022-01-04 21:00:00;0.0;0.0;0.0;4.05;92.2;2.34;;541.8091041394883
2022-01-04 22:00:00;0.0;0.0;0.0;3.57;92.15;2.48;;541.8091041394883
2022-01-04 23:00:00;0.0;0.0;0.0;3.46;92.15;2.69;;541.8091041394883
2022-01-05 00:00:00;0.0;0.0;0.0;3.63;88.75;2.9;;541.8091041394883
2022-01-05 01:00:00;0.0;0.0;0.0;3.9;88.75;3.1;;541.8091041394883
2022-01-05 02:00:00;0.0;0.0;0.0;4.11;85.5;3.24;;541.8091041394883
2022-01-05 03:00:00;0.0;0.0;0.0;4.39;85.5;3.38;;541.8091041394883
2022-01-05 04:00:00;0.0;0.0;0.0;4.6;79.3;3.31;;541.8091041394883
2022-01-05 05:00:00;0.0;0.0;0.0;4.61;79.3;3.17;;541.8091041394883
2022-01-05 06:00:00;0.0;0.0;0.0;4.31;79.2;3.03;;541.8091041394883
2022-01-05 07:00:00;0.0;0.0;0.0;4.07;79.2;3.1;;541.8091041394883
2022-01-05 08:00:00;112.0;474.39;42.0;4.85;79.3;2.97;;541.8091041394883
2022-01-05 09:00:00;239.0;698.26;57.0;7.54;76.7;2.62;;541.8091041394883
2022-01-05 10:00:00;313.0;675.93;85.0;10.91;66.65;2.34;;541.8091041394883
2022-01-05 11:00:00;311.0;453.9;142.0;12.84;64.55;2.14;;541.8091041394883
2022-01-05 12:00:00;349.0;748.67;77.0;14.38;58.1;2.14;;541.8091041394883
2022-01-05 13:00:00;293.0;733.43;65.0;15.14;58.35;1.79;;541.8091041394883
2022-01-05 14:00:00;190.0;635.94;51.0;15.01;62.65;1.38;;541.8091041394883
2022-01-05 15:00:00;60.0;377.46;25.0;13.58;67.05;1.79;;541.8091041394883
2022-01-05 16:00:00;0.0;0.0;0.0;11.12;69.25;2.14;;541.8091041394883
2022-01-05 17:00:00;0.0;0.0;0.0;8.89;76.95;2.0;;541.8091041394883
2022-01-05 18:00:00;0.0;0.0;0.0;7.28;79.65;1.86;;541.8091041394883
2022-01-05 19:00:00;0.0;0.0;0.0;7.21;68.5;2.9;;541.8091041394883
2022-01-05 20:00:00;0.0;0.0;0.0;6.95;65.85;2.76;;541.8091041394883
2022-01-05 21:00:00;0.0;0.0;0.0;7.27;63.5;2.28;;541.8091041394883
2022-01-05 22:00:00;0.0;0.0;0.0;8.14;59.0;1.72;;541.8091041394883
2022-01-05 23:00:00;0.0;0.0;0.0;7.64;61.2;1.59;;541.8091041394883
2022-01-06 00:00:00;0.0;0.0;0.0;6.51;68.3;1.72;;541.8091041394883
2022-01-06 01:00:00;0.0;0.0;0.0;6.46;68.3;1.59;;541.8091041394883
2022-01-06 02:00:00;0.0;0.0;0.0;6.43;68.3;1.38;;541.8091041394883
2022-01-06 03:00:00;0.0;0.0;0.0;6.66;65.85;1.03;;541.8091041394883
2022-01-06 04:00:00;0.0;0.0;0.0;6.17;68.3;0.76;;541.8091041394883
2022-01-06 05:00:00;0.0;0.0;0.0;5.02;73.45;1.1;;541.8091041394883
2022-01-06 06:00:00;0.0;0.0;0.0;2.74;82.15;1.66;;541.8091041394883
2022-01-06 07:00:00;0.0;0.0;0.0;1.9;88.6;2.14;;541.8091041394883
2022-01-06 08:00:00;90.0;202.26;60.0;2.62;88.65;1.86;;541.8091041394883
2022-01-06 09:00:00;157.0;141.36;120.0;5.52;85.6;1.45;;541.8091041394883
2022-01-06 10:00:00;288.0;487.07;123.0;9.07;74.15;1.52;;541.8091041394883
2022-01-06 11:00:00;290.0;336.8;164.0;11.13;66.75;1.72;;541.8091041394883
2022-01-06 12:00:00;232.0;153.26;176.0;12.88;64.55;2.0;;541.8091041394883
2022-01-06 13:00:00;104.0;3.19;103.0;13.7;60.2;2.28;;541.8091041394883
2022-01-06 14:00:00;97.0;36.18;89.0;13.4;64.65;2.41;;541.8091041394883
2022-01-06 15:00:00;69.0;482.4;23.0;12.32;69.35;2.9;;541.8091041394883
2022-01-06 16:00:00;0.0;0.0;0.0;10.6;69.15;3.31;;541.8091041394883
2022-01-06 17:00:00;0.0;0.0;0.0;9.26;71.5;3.45;;541.8091041394883
2022-01-06 18:00:00;0.0;0.0;0.0;8.51;68.7;3.45;;541.8091041394883
2022-01-06 19:00:00;0.0;0.0;0.0;8.07;85.85;3.24;;541.8091041394883
2022-01-06 20:00:00;0.0;0.0;0.0;7.68;82.7;3.45;;541.8091041394883
2022-01-06 21:00:00;0.0;0.0;0.0;7.37;82.65;3.31;;541.8091041394883
2022-01-06 22:00:00;0.0;0.0;0.0;6.78;82.6;2.76;;541.8091041394883
2022-01-06 23:00:00;0.0;0.0;0.0;5.95;82.5;1.52;;541.8091041394883
2022-01-07 00:00:00;0.0;0.0;0.0;5.47;82.4;1.45;;541.8091041394883
2022-01-07 01:00:00;0.0;0.0;0.0;3.14;88.7;2.34;;541.8091041394883
2022-01-07 02:00:00;0.0;0.0;0.0;2.85;92.15;1.79;;541.8091041394883
2022-01-07 03:00:00;0.0;0.0;0.0;4.89;85.55;0.07;;541.8091041394883
