Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;8.7;84.76;6.26;
2022-01-01 01:00:00;0.0;0.0;0.0;8.51;85.11;6.0;
2022-01-01 02:00:00;0.0;0.0;0.0;8.32;85.46;5.74;
2022-01-01 03:00:00;0.0;0.0;0.0;8.13;85.81;5.48;
2022-01-01 04:00:00;0.0;0.0;0.0;7.94;86.16;5.22;
2022-01-01 05:00:00;0.0;0.0;0.0;7.75;86.51;4.96;
2022-01-01 06:00:00;0.0;0.0;0.0;7.56;86.86;4.7;
2022-01-01 07:00:00;0.0;0.0;0.0;7.37;87.21;4.44;
2022-01-01 08:00:00;2.0;0.0;2.0;8.17;85.85;5.17;
2022-01-01 09:00:00;39.0;7.28;38.0;8.62;85.9;5.17;
2022-01-01 10:00:00;50.0;0.0;50.0;9.04;85.95;5.1;
2022-01-01 11:00:00;112.0;35.76;103.0;9.31;85.95;5.17;
2022-01-01 12:00:00;130.0;75.13;111.0;9.47;79.9;5.52;
2022-01-01 13:00:00;82.0;18.53;78.0;8.85;74.15;5.86;
2022-01-01 14:00:00;41.0;6.99;40.0;8.27;71.35;5.93;
2022-01-01 15:00:00;3.0;0.0;3.0;7.66;71.15;5.72;
2022-01-01 16:00:00;0.0;0.0;0.0;7.22;71.05;5.86;
2022-01-01 17:00:00;0.0;0.0;0.0;7.04;68.4;6.07;
2022-01-01 18:00:00;0.0;0.0;0.0;6.87;63.35;6.14;
2022-01-01 19:00:00;0.0;0.0;0.0;6.67;68.3;6.21;
2022-01-01 20:00:00;0.0;0.0;0.0;6.51;60.85;6.21;
2022-01-01 21:00:00;0.0;0.0;0.0;6.42;58.55;6.07;
2022-01-01 22:00:00;0.0;0.0;0.0;6.14;58.45;6.07;
2022-01-01 23:00:00;0.0;0.0;0.0;5.76;58.45;6.0;
2022-01-02 00:00:00;0.0;0.0;0.0;5.6;60.65;5.79;
2022-01-02 01:00:00;0.0;0.0;0.0;5.73;56.2;5.66;
2022-01-02 02:00:00;0.0;0.0;0.0;5.84;58.45;5.72;
2022-01-02 03:00:00;0.0;0.0;0.0;5.71;63.05;5.66;
2022-01-02 04:00:00;0.0;0.0;0.0;5.41;65.55;5.52;
2022-01-02 05:00:00;0.0;0.0;0.0;5.08;68.0;5.31;
2022-01-02 06:00:00;0.0;0.0;0.0;4.94;68.0;5.1;
2022-01-02 07:00:00;0.0;0.0;0.0;5.11;68.0;5.17;
2022-01-02 08:00:00;2.0;0.0;2.0;5.0;68.0;5.24;
2022-01-02 09:00:00;62.0;57.94;54.0;5.24;68.1;5.17;
2022-01-02 10:00:00;65.0;4.69;64.0;5.86;68.2;5.03;
2022-01-02 11:00:00;121.0;51.39;108.0;6.49;68.3;4.21;
2022-01-02 12:00:00;158.0;161.12;117.0;6.79;65.85;4.55;
2022-01-02 13:00:00;82.0;13.78;79.0;6.75;65.85;4.07;
2022-01-02 14:00:00;61.0;41.33;55.0;6.55;65.75;3.79;
2022-01-02 15:00:00;5.0;0.0;5.0;5.74;68.2;3.31;
2022-01-02 16:00:00;0.0;0.0;0.0;4.56;70.7;2.97;
2022-01-02 17:00:00;0.0;0.0;0.0;4.03;73.4;2.9;
2022-01-02 18:00:00;0.0;0.0;0.0;3.24;76.15;2.76;
2022-01-02 19:00:00;0.0;0.0;0.0;2.7;79.1;2.76;
2022-01-02 20:00:00;0.0;0.0;0.0;2.79;79.1;2.62;
